SSIP,SSP,SDFP,SDFB,SFE,RFIP,label
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
92.5,92.5,0.0,0.0,92.5,2.0,0
227.0,227.0,52.834446759525186,2853.0601250143613,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.04688060936958758,2.5315529059577297,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.39407619426478846,21.28011449029858,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.8708104581837355,47.02376474192171,227.0,2.0,0
227.0,227.0,0.3535019274670687,19.089104083221713,227.0,2.0,0
227.0,227.0,0.2812836562175254,15.18931743574638,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.4688060936958758,25.31552905957729,227.0,2.0,0
227.0,227.0,0.4415242054278909,23.842307093106115,227.0,2.0,0
227.0,227.0,0.14064182810876272,7.594658717873189,227.0,2.0,0
227.0,227.0,0.5236920212057649,28.2793691451113,227.0,2.0,0
227.0,227.0,0.09376121873917516,5.063105811915459,227.0,2.0,0
227.0,227.0,0.27617491625773405,14.913445477917639,227.0,2.0,0
227.0,227.0,0.4688060936958758,25.31552905957729,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.48191094317749605,26.023190931584793,227.0,2.0,0
227.0,227.0,0.3410969151332216,18.419233417193972,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.09376121873917516,5.063105811915459,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.18752243747835032,10.126211623830917,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
95.0,95.0,0.0,0.0,95.0,2.0,0
227.0,227.0,52.834446759525186,2853.0601250143613,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.04688060936958758,2.5315529059577297,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.39407619426478846,21.28011449029858,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.8708104581837355,47.02376474192171,227.0,2.0,0
227.0,227.0,0.3535019274670687,19.089104083221713,227.0,2.0,0
227.0,227.0,0.2812836562175254,15.18931743574638,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.4688060936958758,25.31552905957729,227.0,2.0,0
227.0,227.0,0.4415242054278909,23.842307093106115,227.0,2.0,0
227.0,227.0,0.14064182810876272,7.594658717873189,227.0,2.0,0
227.0,227.0,0.5236920212057649,28.2793691451113,227.0,2.0,0
227.0,227.0,0.09376121873917516,5.063105811915459,227.0,2.0,0
227.0,227.0,0.27617491625773405,14.913445477917639,227.0,2.0,0
227.0,227.0,0.4688060936958758,25.31552905957729,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.48191094317749605,26.023190931584793,227.0,2.0,0
227.0,227.0,0.3410969151332216,18.419233417193972,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.09376121873917516,5.063105811915459,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.18752243747835032,10.126211623830917,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
95.0,95.0,0.0,0.0,95.0,2.0,0
227.0,227.0,52.834446759525186,2853.0601250143613,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.04688060936958758,2.5315529059577297,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.39407619426478846,21.28011449029858,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.8708104581837355,47.02376474192171,227.0,2.0,0
227.0,227.0,0.3535019274670687,19.089104083221713,227.0,2.0,0
227.0,227.0,0.2812836562175254,15.18931743574638,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.4688060936958758,25.31552905957729,227.0,2.0,0
227.0,227.0,0.4415242054278909,23.842307093106115,227.0,2.0,0
227.0,227.0,0.14064182810876272,7.594658717873189,227.0,2.0,0
227.0,227.0,0.5236920212057649,28.2793691451113,227.0,2.0,0
227.0,227.0,0.09376121873917516,5.063105811915459,227.0,2.0,0
227.0,227.0,0.27617491625773405,14.913445477917639,227.0,2.0,0
227.0,227.0,0.4688060936958758,25.31552905957729,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.48191094317749605,26.023190931584793,227.0,2.0,0
227.0,227.0,0.3410969151332216,18.419233417193972,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.09376121873917516,5.063105811915459,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.18752243747835032,10.126211623830917,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
227.0,227.0,0.0,0.0,227.0,2.0,0
95.0,95.0,0.0,0.0,95.0,2.0,0
